Item,Open,Close,Volume,sentiment
0,0.3660188784008884,0.3680268306316379,0.07812687144801407,0.0
1,0.3534702942809551,0.3648965902738961,0.07083056870311044,0.0
2,0.3483620210993892,0.35617663499161534,0.2034552351085687,0.06659910307000687
3,0.33881177123820083,0.3490217998882055,0.05275646617981869,0.9999999999999999
4,0.33370349805663535,0.3464505310229178,0.06758824155250233,0.0605446391545517
5,0.33892282065519175,0.343320290665176,0.09426262955732204,0.06659910307000687
6,0.31127151582454204,0.3369480156512017,0.09373861984675858,0.06659910307000687
7,0.29106052193225995,0.3076579094466181,0.0880841823374936,0.08476249481637238
8,0.3177123820099945,0.31067635550586936,0.10803908104834847,0.05449017523909653
9,0.3344808439755691,0.3287870318613748,0.053767348904417964,0.012108927830910339
10,0.3372570794003331,0.3388485187255448,0.10436589312543429,0.10292588656273789
11,0.3552470849528042,0.3449972051425376,0.07556836468181378,0.036326783492731024
12,0.3476957245974459,0.3536053661263274,0.06098108393893513,0.024217855661820678
13,0.34169905607995577,0.3416433761878144,0.07730201353598457,0.06659910307000687
14,0.3470294280955024,0.353269983230855,0.045664585930783,0.10898035047819307
15,0.351693503609106,0.35941866964784785,0.06373838125713657,0.05449017523909653
16,0.35535813436979447,0.35651201788708775,0.06830476134433067,0.11503481439364824
17,0.3412548584119932,0.3541643376187813,0.06554067156049594,0.10898035047819307
18,0.3311493614658523,0.33840134153158186,0.059543026805288043,0.04238124740818619
19,0.34158800666296485,0.3401900503074342,0.08905140896387695,0.03027231957727585
20,0.3310383120488618,0.34801565120178846,0.07484170739102522,0.036326783492731024
21,0.32848417545807895,0.3405254332029066,0.09047246786694427,0.05449017523909653
22,0.32393114936146583,0.32319731693683607,0.054489705438071884,0.0605446391545517
23,0.3211549139367018,0.33482392397987715,0.10442961942361184,0.018163391746365512
24,0.30149916712937275,0.3183901621017329,0.07238331269368127,0.10292588656273789
25,0.29194891726818417,0.29536053661263284,0.06492245478888796,0.0
26,0.27029428095502506,0.29223029625489105,0.07020641279069748,0.018163391746365512
27,0.28373126041088303,0.2864169927333704,0.10873252693681953,0.03027231957727585
28,0.3022765130483065,0.3214086081609837,0.12574830187505845,0.006054463915455166
29,0.30294280955025,0.3128004471771939,0.143500325475156,0.006054463915455166
30,0.28895058300943943,0.30877585243152583,0.09465905013955786,0.09687142264728273
31,0.2995002776235425,0.2965902738960311,0.08917660878268538,0.018163391746365512
32,0.2937257079400333,0.30016769144773603,0.12598508244841558,0.07265356698546205
33,0.28872848417545804,0.2997205142537729,0.11286053699321849,0.09687142264728273
34,0.29194891726818417,0.29916154276131923,0.13113868654945374,0.10898035047819307
35,0.2787340366463076,0.2984907769703746,0.1421350398828665,0.05449017523909653
36,0.27617990005552473,0.29513694801565116,0.15412667716301717,0.0605446391545517
37,0.2735147140477512,0.2790385690329793,0.1750989438671664,0.03027231957727585
38,0.2595224875069406,0.28306316377864715,0.7123774459148218,0.08476249481637238
39,0.1699056079955581,0.16713247624371141,0.30010430701371227,0.05449017523909653
40,0.16957245974458623,0.18166573504751238,0.16436688229957525,0.012108927830910339
41,0.13947806774014437,0.16344326439351575,0.1306123557953573,0.05449017523909653
42,0.1508051082731816,0.15707098937954167,0.08900853792450308,0.018163391746365512
43,0.1439200444197668,0.15830072666294015,0.07900012994430486,0.11503481439364824
44,0.13892282065519157,0.14332029066517604,0.13774997425518992,0.04843571132364136
45,0.1508051082731816,0.1552822806036891,0.0863341155136263,0.024217855661820678
46,0.1341476957245975,0.15897149245388476,0.09273749915819507,0.07265356698546205
47,0.143364797334814,0.1466741196198993,0.08330337878744386,0.018163391746365512
48,0.1294836202109939,0.13705980994969247,0.1218719543770222,0.07870803090091721
49,0.10549694614103289,0.11827836780324197,0.08731414201243418,0.03027231957727585
