,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,sentiment
0,0,2014-04-15,195.98,197.41,195.42,197.02,5351300.0,0.0,1.0,163.32442695460855,164.51615024548053,162.8577381134279,164.19113480251542,5351300.0,8.0
1,1,2014-04-16,198.05,198.71,195.0,196.4,8527300.0,0.0,1.0,165.04950892111557,165.59953505536416,162.50772148254245,163.67444358549403,8527300.0,-6.0
2,2,2014-04-17,187.25,190.7,187.01,190.01,11255500.0,0.0,1.0,156.04908126977475,158.92421788061966,155.84907176641158,158.34919055845072,11255500.0,-8.0
3,3,2014-04-21,189.8,192.805,189.74,192.27,5419700.0,0.0,1.0,158.174182243008,160.6784678997005,158.1241798671672,160.23261338178685,5419700.0,3.0
4,4,2014-04-22,192.01,193.0,191.2,192.15,3878600.0,0.0,1.0,160.01593641981012,160.84097562118302,159.34090434595956,160.1326086301053,3878600.0,5.0
5,5,2014-04-23,191.79,192.41,190.11,191.73,4736400.0,0.0,1.0,159.8325943750606,160.349285592082,158.4325278515187,159.78259199921982,4736400.0,-6.0
6,6,2014-04-24,192.22,192.22,190.03,190.22,4407100.0,0.0,1.0,160.19094473525288,160.19094473525288,158.3658580170643,158.52419887389343,4407100.0,8.0
7,7,2014-04-25,190.54,190.67,189.11,189.63,3871000.0,0.0,1.0,158.79087821171098,158.89921669269933,157.599154920839,158.03250884479243,3871000.0,0.0
8,8,2014-04-28,191.14,193.99,190.58,193.14,5638300.0,0.0,1.0,159.29090197011874,161.66601482255595,158.82421312893817,160.9576478314782,5638300.0,6.0
9,9,2014-04-29,193.59,195.94,193.41,195.11,4626300.0,0.0,1.0,161.3326656502841,163.2910920373814,161.18265852276173,162.59939250491726,4626300.0,-4.0
10,10,2014-04-30,194.38,196.86,194.35,196.47,4206800.0,0.0,1.0,161.99103026552103,164.05779513360667,161.96602907760064,163.73277969064162,4206800.0,-2.0
11,11,2014-05-01,196.31,196.74,193.15,193.53,3674000.0,0.0,1.0,163.59944002173287,163.95779038192515,160.965981560785,161.28266327444328,3674000.0,-3.0
12,12,2014-05-02,193.75,193.84,191.25,191.44,3049900.0,0.0,1.0,161.46600531919282,161.541008882954,159.38257299249355,159.5409138493227,3049900.0,-8.0
13,13,2014-05-05,191.05,191.49,189.8,191.26,2222100.0,0.0,1.0,159.21589840635758,159.58258249585668,158.174182243008,159.39090672180038,2222100.0,-4.0
14,14,2014-05-06,190.93,190.95,189.25,190.03,3188700.0,0.0,1.0,159.11589365467606,159.13256111328963,157.71582713113415,158.3658580170643,3188700.0,-10.0
15,15,2014-05-07,189.34,190.3,186.93,189.3,3821000.0,1.1,1.0,158.70773462392006,159.5124215640223,156.68763511803834,158.67420600141585,3821000.0,-8.0
16,16,2014-05-08,189.16,190.57,188.23,188.91,2431900.0,0.0,1.0,158.5568558226509,159.73873976592608,157.7773153494268,158.34730193199925,2431900.0,-8.0
17,17,2014-05-09,188.98,190.5854,188.37,190.08,2261600.0,0.0,1.0,158.40597702138172,159.75164828559022,157.89466552819175,159.3280141402489,2261600.0,1.0
18,18,2014-05-12,191.12,193.02,190.94,192.57,3777400.0,0.0,1.0,160.19975832535968,161.7923678943121,160.04887952409055,161.41517089113916,3777400.0,2.0
19,19,2014-05-13,192.79,193.03,191.76,192.19,2226600.0,0.0,1.0,161.59957831491258,161.80075004993816,160.73621628542787,161.09664897734868,2226600.0,-9.0
20,20,2014-05-14,191.91,191.99,188.17,188.72,5251500.0,0.0,1.0,160.86194861981883,160.92900586482742,157.72702241567043,158.18804097510403,5251500.0,-10.0
21,21,2014-05-15,189.07,189.08,186.18,186.46,4202200.0,0.0,1.0,158.4814164220163,158.48979857764238,156.05897344608346,156.29367380361327,4202200.0,-1.0
22,22,2014-05-16,186.27,187.41,185.93,187.06,3949500.0,0.0,1.0,156.13441284671802,157.08997858808945,155.8494195554318,156.79660314117717,3949500.0,1.0
