,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,sentiment
0,2018-09-14,148.85,149.3,147.78,148.33,3452144.0,0.0,1.0,145.2673322502049,145.70650120897278,144.22308605935697,144.75984812007323,3452144.0,-4.0
1,2018-09-17,148.44,149.07,147.77,147.94,3551675.0,0.0,1.0,144.8672005322165,145.48203707449144,144.21332674916215,144.37923502247443,3551675.0,-7.0
2,2018-09-18,147.76,148.985,147.47,148.56,3629596.0,0.0,1.0,144.2035674389673,145.39908293783532,143.9205474433169,144.98431225455457,3629596.0,-9.0
3,2018-09-19,148.63,149.9599,148.23,149.06,4246182.0,0.0,1.0,145.05262742591844,146.35051808873033,144.6622550181248,145.4722777642966,4246182.0,-5.0
4,2018-09-20,149.58,151.38,149.44,151.15,5952223.0,0.0,1.0,145.97976189442832,147.73643772949967,145.84313155170054,147.5119735950183,5952223.0,-7.0
5,2018-09-21,151.48,152.6,150.74,151.35,19947527.0,0.0,1.0,147.83403083144805,148.92707357327023,147.1118418770299,147.70715979891511,19947527.0,-8.0
6,2018-09-24,151.1,151.2,149.46,150.03,4235483.0,0.0,1.0,147.4631770440441,147.5607701459925,145.86265017209024,146.41893085319612,4235483.0,3.0
7,2018-09-25,149.91,150.41,148.36,148.91,4069985.0,0.0,1.0,146.30181913085806,146.7897846406001,144.78912605065776,145.32588811137398,4069985.0,5.0
8,2018-09-26,152.4,153.35,151.34,151.61,7157761.0,0.0,1.0,148.7318873693734,149.65902183788333,147.69740048872032,147.960901863981,7157761.0,8.0
9,2018-09-27,152.01,152.3888,151.16,151.5,3475447.0,0.0,1.0,148.35127427177463,148.7209569419552,147.52173290521316,147.85354945183775,3475447.0,8.0
10,2018-09-28,151.16,151.625,150.79,151.21,3305325.0,0.0,1.0,147.52173290521316,147.97554082927326,147.16063842800403,147.5705294561874,3305325.0,-9.0
11,2018-10-01,151.71,153.42,151.71,153.0,3757379.0,0.0,1.0,148.0584949659294,149.72733700924718,148.0584949659294,149.31744598106388,3757379.0,-5.0
12,2018-10-02,152.99,153.84,152.5,153.75,3029925.0,0.0,1.0,149.30768667086903,150.1372280374305,148.82948047132186,150.0493942456769,3029925.0,-8.0
13,2018-10-03,154.0,154.36,152.8,153.22,3315298.0,0.0,1.0,150.2933770005479,150.64471216756226,149.1222597771671,149.53215080535037,3315298.0,2.0
14,2018-10-04,151.69,152.8,150.36,151.31,4237868.0,0.0,1.0,148.03897634553974,149.1222597771671,146.74098808962592,147.66812255813582,4237868.0,-5.0
15,2018-10-05,150.9,151.79,147.87,149.03,4602249.0,0.0,1.0,147.2679908401473,148.13656944748809,144.31091985111055,145.4429998337121,4602249.0,-4.0
16,2018-10-08,148.5,149.07,147.18,148.39,3239218.0,0.0,1.0,144.9257563933855,145.48203707449144,143.63752744766654,144.81840398124226,3239218.0,-4.0
17,2018-10-09,148.08,148.36,146.93,147.24,3642488.0,0.0,1.0,144.51586536520222,144.78912605065776,143.39354469279553,143.6960833088356,3642488.0,1.0
18,2018-10-10,147.5,147.69,142.5,142.69,5314508.0,0.0,1.0,143.94982537390143,144.1352522676034,139.07017027648106,139.25559717018302,5314508.0,-7.0
19,2018-10-11,142.62,144.19,138.78,139.02,8710491.0,0.0,1.0,139.18728199881917,140.71949369940916,135.4397068840003,135.67393032867648,8710491.0,7.0
